Date,Product,Region,Quantity,Unit_Price,Discount,Total_Sales
2023-01-01,Headphones,East,11,1115,20,9812.0
2023-01-01,Headphones,East,19,1258,10,21511.8
2023-01-01,Keyboard,West,4,891,10,3207.6
2023-01-01,Headphones,South,12,1457,5,16609.8
2023-01-01,Monitor,North,1,479,5,455.04999999999995
2023-01-01,Headphones,West,17,494,10,7558.2
2023-01-02,Monitor,West,16,209,10,3009.6
2023-01-02,Monitor,East,3,666,20,1598.4
2023-01-02,Laptop,East,18,407,0,7326.0
2023-01-02,Monitor,South,18,796,5,13611.599999999999
2023-01-03,Mouse,West,15,975,15,12431.25
2023-01-03,Headphones,West,15,54,0,810.0
2023-01-03,Monitor,South,8,1431,5,10875.6
2023-01-03,Mouse,West,18,749,15,11459.699999999999
2023-01-03,Mouse,South,4,289,15,982.6
2023-01-03,Laptop,South,8,739,20,4729.6
2023-01-03,Mouse,East,13,1084,20,11273.6
2023-01-04,Laptop,North,7,540,0,3780.0
2023-01-04,Monitor,West,11,612,10,6058.8
2023-01-04,Keyboard,North,5,250,5,1187.5
2023-01-04,Laptop,West,7,220,15,1309.0
2023-01-04,Mouse,North,16,522,20,6681.6
2023-01-04,Keyboard,West,8,745,10,5364.0
2023-01-04,Keyboard,North,3,632,10,1706.4
2023-01-05,Headphones,South,14,890,10,11214.0
2023-01-05,Laptop,East,15,911,20,10932.0
2023-01-05,Keyboard,East,7,1284,15,7639.8
2023-01-06,Monitor,South,5,1450,20,5800.0
2023-01-06,Keyboard,North,4,544,10,1958.4
2023-01-06,Keyboard,South,2,701,20,1121.6000000000001
2023-01-06,Laptop,North,6,815,15,4156.5
2023-01-06,Monitor,West,11,1391,0,15301.0
2023-01-06,Laptop,North,13,1302,10,15233.4
2023-01-06,Laptop,South,5,1268,10,5706.0
2023-01-07,Monitor,West,15,1417,0,21255.0
2023-01-07,Monitor,North,17,461,15,6661.45
2023-01-07,Monitor,South,7,1429,10,9002.7
2023-01-07,Laptop,North,17,971,0,16507.0
2023-01-08,Laptop,South,2,239,20,382.40000000000003
2023-01-08,Laptop,North,19,1173,20,17829.600000000002
2023-01-08,Monitor,South,6,1459,15,7440.9
2023-01-08,Keyboard,West,17,786,20,10689.6
2023-01-08,Monitor,South,6,1001,10,5405.400000000001
2023-01-09,Laptop,West,6,483,20,2318.4
2023-01-09,Keyboard,West,4,422,5,1603.6
2023-01-09,Keyboard,East,19,1191,15,19234.649999999998
2023-01-10,Laptop,West,7,357,0,2499.0
2023-01-10,Keyboard,West,18,170,5,2907.0
2023-01-10,Keyboard,East,16,365,0,5840.0
2023-01-11,Monitor,North,2,916,15,1557.2
2023-01-11,Headphones,North,9,1276,10,10335.6
2023-01-11,Keyboard,West,16,1174,15,15966.4
2023-01-11,Laptop,West,11,1463,15,13679.05
2023-01-11,Keyboard,West,3,172,20,412.8
2023-01-11,Mouse,West,14,357,5,4748.099999999999
2023-01-12,Headphones,North,4,180,15,612.0
2023-01-12,Laptop,South,16,1435,10,20664.0
2023-01-12,Laptop,West,1,707,15,600.9499999999999
2023-01-12,Keyboard,East,14,57,20,638.4000000000001
2023-01-12,Keyboard,South,8,1326,10,9547.2
2023-01-13,Headphones,South,1,303,0,303.0
2023-01-13,Headphones,West,16,678,15,9220.8
2023-01-13,Keyboard,West,17,36,15,520.1999999999999
2023-01-13,Monitor,South,14,1416,10,17841.600000000002
2023-01-14,Laptop,North,17,321,20,4365.6
2023-01-14,Keyboard,West,1,1159,20,927.2
2023-01-14,Headphones,West,1,1299,10,1169.1000000000001
2023-01-14,Mouse,North,10,585,5,5557.5
2023-01-14,Keyboard,West,14,645,5,8578.5
2023-01-14,Keyboard,South,2,804,0,1608.0
2023-01-15,Keyboard,South,16,1082,20,13849.6
2023-01-15,Mouse,East,3,940,20,2256.0
2023-01-15,Monitor,South,7,55,20,308.0
2023-01-16,Laptop,West,14,419,15,4986.099999999999
2023-01-16,Keyboard,East,15,1135,5,16173.75
2023-01-16,Mouse,West,19,594,20,9028.800000000001
2023-01-16,Mouse,South,17,701,10,10725.300000000001
2023-01-16,Monitor,North,1,283,20,226.4
2023-01-16,Monitor,West,12,24,15,244.79999999999998
2023-01-17,Monitor,South,15,886,15,11296.5
2023-01-17,Headphones,South,10,676,10,6084.0
2023-01-17,Monitor,South,5,136,0,680.0
2023-01-17,Monitor,North,1,1101,5,1045.95
2023-01-17,Laptop,East,2,1139,0,2278.0
2023-01-17,Headphones,North,1,1315,20,1052.0
2023-01-17,Headphones,South,3,1119,5,3189.1499999999996
2023-01-18,Headphones,South,14,1263,20,14145.6
2023-01-18,Laptop,South,14,977,15,11626.3
2023-01-18,Headphones,West,16,237,5,3602.3999999999996
2023-01-18,Headphones,East,4,1332,20,4262.400000000001
2023-01-18,Mouse,South,5,1143,5,5429.25
2023-01-19,Mouse,South,19,461,0,8759.0
2023-01-19,Headphones,North,4,1059,5,4024.2
2023-01-19,Laptop,West,12,709,10,7657.2
2023-01-19,Monitor,North,1,976,10,878.4
2023-01-19,Keyboard,North,12,1460,5,16644.0
2023-01-19,Keyboard,West,13,31,5,382.84999999999997
2023-01-20,Keyboard,South,3,746,0,2238.0
2023-01-20,Mouse,West,10,1041,5,9889.5
2023-01-20,Keyboard,North,7,1239,5,8239.35
2023-01-20,Headphones,South,13,1118,20,11627.2
2023-01-20,Monitor,North,4,1437,20,4598.400000000001
2023-01-20,Laptop,West,3,1142,15,2912.1
2023-01-20,Mouse,North,7,115,20,644.0
2023-01-21,Laptop,East,13,298,0,3874.0
2023-01-21,Keyboard,North,17,81,15,1170.45
2023-01-21,Laptop,South,13,718,10,8400.6
2023-01-21,Laptop,West,12,464,0,5568.0
2023-01-21,Keyboard,West,9,474,15,3626.1
2023-01-21,Monitor,East,15,163,20,1956.0
2023-01-22,Keyboard,West,4,1194,0,4776.0
2023-01-22,Headphones,North,10,1229,5,11675.5
2023-01-22,Headphones,East,11,677,15,6329.95
2023-01-22,Laptop,South,12,932,20,8947.2
2023-01-22,Headphones,West,10,1436,5,13642.0
2023-01-22,Keyboard,South,2,48,20,76.80000000000001
2023-01-22,Keyboard,West,16,1408,0,22528.0
2023-01-23,Laptop,East,7,236,20,1321.6000000000001
2023-01-23,Monitor,West,6,1295,10,6993.0
2023-01-23,Headphones,West,7,110,5,731.5
2023-01-23,Mouse,East,7,1169,10,7364.7
2023-01-23,Headphones,North,18,1263,5,21597.3
2023-01-23,Monitor,West,8,848,0,6784.0
2023-01-24,Keyboard,North,17,1452,0,24684.0
2023-01-24,Headphones,South,12,704,20,6758.400000000001
2023-01-24,Headphones,East,16,905,20,11584.0
2023-01-25,Monitor,North,4,1270,10,4572.0
2023-01-25,Monitor,North,18,66,0,1188.0
2023-01-25,Laptop,South,15,1458,0,21870.0
2023-01-25,Headphones,South,3,675,0,2025.0
2023-01-25,Keyboard,West,10,755,15,6417.5
2023-01-26,Headphones,West,4,109,5,414.2
2023-01-26,Monitor,South,5,60,15,255.0
2023-01-26,Keyboard,South,17,1244,0,21148.0
2023-01-26,Headphones,West,13,751,20,7810.400000000001
2023-01-26,Headphones,South,3,1296,5,3693.6
2023-01-26,Keyboard,West,5,469,5,2227.75
2023-01-27,Keyboard,North,5,1162,0,5810.0
2023-01-27,Laptop,South,15,196,10,2646.0
2023-01-27,Headphones,South,17,124,10,1897.2
2023-01-27,Laptop,North,16,842,15,11451.199999999999
2023-01-28,Headphones,East,5,790,20,3160.0
2023-01-28,Headphones,North,5,733,5,3481.75
2023-01-28,Keyboard,North,14,476,0,6664.0
2023-01-29,Headphones,North,4,1489,0,5956.0
2023-01-29,Laptop,West,2,1391,5,2642.9
2023-01-29,Mouse,South,3,1349,15,3439.95
2023-01-29,Laptop,South,12,408,10,4406.400000000001
2023-01-29,Laptop,North,16,786,20,10060.800000000001
2023-01-30,Mouse,East,19,122,15,1970.3
2023-01-30,Mouse,South,18,117,5,2000.6999999999998
2023-01-30,Keyboard,East,2,1351,0,2702.0
2023-01-30,Laptop,West,15,1039,5,14805.75
2023-01-30,Keyboard,North,5,816,15,3468.0
2023-01-30,Mouse,West,17,1373,0,23341.0
2023-01-30,Monitor,West,5,565,20,2260.0
2023-01-31,Headphones,South,11,62,10,613.8000000000001
2023-01-31,Keyboard,East,16,114,10,1641.6000000000001
2023-01-31,Monitor,West,4,300,10,1080.0
2023-01-31,Keyboard,East,18,80,5,1368.0
2023-02-01,Keyboard,North,5,623,5,2959.25
2023-02-01,Headphones,South,6,664,0,3984.0
2023-02-01,Monitor,South,14,565,0,7910.0
2023-02-01,Mouse,North,9,813,0,7317.0
2023-02-01,Laptop,South,15,1099,10,14836.5
2023-02-02,Laptop,South,4,1300,0,5200.0
2023-02-02,Keyboard,North,15,322,5,4588.5
2023-02-02,Monitor,East,14,1259,5,16744.7
